# Log Gross Income (lower edge), Log Gross Income (upper edge), Log Net Wealth (lower edge), Log Net Wealth (upper edge), Probability
3.302194250041243, 3.709778486161712, 4.922602057956638, 5.743035734282744, 0.0
3.302194250041243, 3.709778486161712, 5.743035734282744, 6.5634694106088505, 0.0
3.302194250041243, 3.709778486161712, 6.5634694106088505, 7.383903086934957, 0.0
3.302194250041243, 3.709778486161712, 7.383903086934957, 8.204336763261063, 0.0
3.302194250041243, 3.709778486161712, 8.204336763261063, 9.024770439587169, 0.0
3.302194250041243, 3.709778486161712, 9.024770439587169, 9.845204115913276, 0.0
3.302194250041243, 3.709778486161712, 9.845204115913276, 10.665637792239382, 0.0
3.302194250041243, 3.709778486161712, 10.665637792239382, 11.486071468565488, 0.0
3.302194250041243, 3.709778486161712, 11.486071468565488, 12.306505144891595, 0.0
3.302194250041243, 3.709778486161712, 12.306505144891595, 13.126938821217701, 0.0
