# Age (lower edge), Age (upper edge), Log Net Income (lower edge), Log Net Income (upper edge), Probability
25.0, 35.0, 10.394644836962202, 10.550845054272983, 0.11873130978329642
25.0, 35.0, 10.550845054272983, 10.707045271583763, 0.1337423080503072
25.0, 35.0, 10.707045271583763, 10.863245488894542, 0.12577723329700707
25.0, 35.0, 10.863245488894542, 11.019445706205323, 0.09269817588000272
25.0, 35.0, 11.019445706205323, 11.175645923516102, 0.05010563313322397
25.0, 35.0, 11.175645923516102, 11.331846140826883, 0.02607636538970868
25.0, 35.0, 11.331846140826883, 11.488046358137662, 0.009368657488718863
25.0, 35.0, 11.488046358137662, 11.644246575448442, 0.0042230655857436765
25.0, 35.0, 11.644246575448442, 11.800446792759223, 0.0005864881039954053
25.0, 35.0, 11.800446792759223, 11.956647010070002, 0.0011012194806881137
25.0, 35.0, 11.956647010070002, 12.112847227380783, 0.0
25.0, 35.0, 12.112847227380783, 12.269047444691562, 0.0
35.0, 45.0, 8.364042011922063, 8.520242229232842, 0.00046727762339742173
35.0, 45.0, 8.520242229232842, 8.676442446543623, 0.0014295715162303303
35.0, 45.0, 8.676442446543623, 8.832642663854402, 0.0024649622572131976
35.0, 45.0, 8.832642663854402, 8.988842881165183, 0.002801540971179437
35.0, 45.0, 8.988842881165183, 9.145043098475963, 0.003909788651028178
35.0, 45.0, 9.145043098475963, 9.301243315786742, 0.008370161489682133
35.0, 45.0, 9.301243315786742, 9.457443533097523, 0.013627478851816968
35.0, 45.0, 9.457443533097523, 9.613643750408302, 0.017296311083950067
35.0, 45.0, 9.613643750408302, 9.769843967719083, 0.04713981604868107
35.0, 45.0, 9.769843967719083, 9.926044185029863, 0.043049852041491615
35.0, 45.0, 9.926044185029863, 10.082244402340642, 0.05637824633543899
35.0, 45.0, 10.082244402340642, 10.238444619651423, 0.09522267749908411
35.0, 45.0, 10.238444619651423, 10.394644836962202, 0.09171267784297649
35.0, 45.0, 10.394644836962202, 10.550845054272983, 0.12492969784871208
35.0, 45.0, 10.550845054272983, 10.707045271583763, 0.1277969478930818
35.0, 45.0, 10.707045271583763, 10.863245488894542, 0.11041626472563607
35.0, 45.0, 10.863245488894542, 11.019445706205323, 0.09846615548231459
35.0, 45.0, 11.019445706205323, 11.175645923516102, 0.058083296400043845
35.0, 45.0, 11.175645923516102, 11.331846140826883, 0.04100600273254275
35.0, 45.0, 11.331846140826883, 11.488046358137662, 0.03395215013393421
35.0, 45.0, 11.488046358137662, 11.644246575448442, 0.014640259048504974
35.0, 45.0, 11.644246575448442, 11.800446792759223, 0.0038647650390484993
35.0, 45.0, 11.800446792759223, 11.956647010070002, 0.0025101499814933572
35.0, 45.0, 11.956647010070002, 12.112847227380783, 0.0003684080553382107
35.0, 45.0, 12.112847227380783, 12.269047444691562, 9.55404471795209e-05
45.0, 55.0, 8.364042011922063, 8.520242229232842, 0.0036142069397586828
45.0, 55.0, 8.520242229232842, 8.676442446543623, 0.0021570972517459355
45.0, 55.0, 8.676442446543623, 8.832642663854402, 0.007878615224855137
45.0, 55.0, 8.832642663854402, 8.988842881165183, 0.004137534916805393
45.0, 55.0, 8.988842881165183, 9.145043098475963, 0.008462781797742236
45.0, 55.0, 9.145043098475963, 9.301243315786742, 0.015529953810254394
45.0, 55.0, 9.301243315786742, 9.457443533097523, 0.021906458097142204
45.0, 55.0, 9.457443533097523, 9.613643750408302, 0.03130075233424544
45.0, 55.0, 9.613643750408302, 9.769843967719083, 0.042526753301524424
45.0, 55.0, 9.769843967719083, 9.926044185029863, 0.0667172145247989
45.0, 55.0, 9.926044185029863, 10.082244402340642, 0.07949563364433586
