profile_id,view,rank,method,samples,percent
core-minimal-10k,modelStep-only,20,java.util.TimSort.countRunAndMakeAscending,22,1.623616
core-minimal-10k,modelStep-only,21,collectors.HousingMarketStats.getMaxQualityForPrice,18,1.328413
core-minimal-10k,modelStep-only,22,org.apache.commons.math3.random.MersenneTwister.next,17,1.254613
core-minimal-10k,modelStep-only,23,housing.Demographics.implementDeaths,15,1.107011
core-minimal-10k,modelStep-only,24,housing.Demographics.updateHouseholdsPerAgeBand,13,0.959410
core-minimal-10k,modelStep-only,25,java.util.TimSort.binarySort,13,0.959410
core-minimal-10k,modelStep-only,26,java.util.TreeMap.fixAfterInsertion,13,0.959410
core-minimal-10k,modelStep-only,27,housing.Model.modelStep,12,0.885609
core-minimal-10k,modelStep-only,28,java.util.HashMap$HashIterator.nextNode,12,0.885609
core-minimal-10k,modelStep-only,29,java.util.TreeMap.getEntry,12,0.885609
core-minimal-10k,modelStep-only,30,utilities.PriorityQueue2D.removeFromUncovered,12,0.885609
core-minimal-10k,modelStep-only,31,housing.HouseholdBehaviour.decideToSellHome,11,0.811808
core-minimal-10k,modelStep-only,32,collectors.CreditSupply.postClearingRecord,10,0.738007
core-minimal-10k,modelStep-only,33,housing.Household.manageHouse,10,0.738007
core-minimal-10k,modelStep-only,34,org.apache.commons.math3.util.FastMath.cos,10,0.738007
core-minimal-10k,modelStep-only,35,org.apache.commons.math3.special.Gamma.invGamma1pm1,9,0.664207
core-minimal-10k,modelStep-only,36,org.apache.commons.math3.util.FastMath.exp,9,0.664207
core-minimal-10k,modelStep-only,37,housing.Bank.getMonthlyPaymentFactor,8,0.590406
core-minimal-10k,modelStep-only,38,java.util.TreeMap.getHigherEntry,8,0.590406
core-minimal-10k,modelStep-only,39,utilities.PriorityQueue2D.sortPriorities,8,0.590406
core-minimal-10k,modelStep-only,40,housing.Household.bidForAHome,7,0.516605
core-minimal-10k,modelStep-only,41,housing.HouseholdBehaviour.decideRentOrPurchase,7,0.516605
core-minimal-10k,modelStep-only,42,java.util.TimSort.mergeLo,7,0.516605
core-minimal-10k,modelStep-only,43,org.apache.commons.math3.special.Gamma.regularizedGammaP,7,0.516605
core-minimal-10k,modelStep-only,44,housing.Household.completeHouseRental,6,0.442804
core-minimal-10k,modelStep-only,45,java.util.TreeMap.deleteEntry,6,0.442804
core-minimal-10k,modelStep-only,46,org.apache.commons.math3.util.FastMath.sin,6,0.442804
core-minimal-10k,modelStep-only,47,data.Wealth.getDesiredBankBalance,5,0.369004
core-minimal-10k,modelStep-only,48,java.util.TreeMap.fixAfterDeletion,5,0.369004
core-minimal-10k,modelStep-only,49,org.apache.commons.math3.util.FastMath.sinQ,5,0.369004
core-minimal-10k,modelStep-only,50,collectors.HousingMarketStats.postClearingRecord,4,0.295203
core-minimal-10k,modelStep-only,51,housing.Government.bandedPercentage,4,0.295203
core-minimal-10k,modelStep-only,52,java.util.ArrayList.clear,4,0.295203
core-minimal-10k,modelStep-only,53,org.apache.commons.math3.util.FastMath.log1p,4,0.295203
core-minimal-10k,modelStep-only,54,housing.Household.getMonthlyDisposableIncome,3,0.221402
core-minimal-10k,modelStep-only,55,java.util.TimSort.mergeCollapse,3,0.221402
core-minimal-10k,modelStep-only,56,java.util.TimSort.mergeHi,3,0.221402
core-minimal-10k,modelStep-only,57,java.util.TreeMap.rotateLeft,3,0.221402
core-minimal-10k,modelStep-only,58,java.util.TreeMap.rotateRight,3,0.221402
core-minimal-10k,modelStep-only,59,housing.Bank.resetMonthlyCounters,2,0.147601
core-minimal-10k,modelStep-only,60,housing.HouseOfferRecord.getQuality,2,0.147601
core-minimal-10k,modelStep-only,61,housing.Household.endOfLettingAgreement,2,0.147601
core-minimal-10k,modelStep-only,62,housing.HousingMarketRecord$PQComparator.YCompare,2,0.147601
core-minimal-10k,modelStep-only,63,java.util.HashMap.removeNode,2,0.147601
core-minimal-10k,modelStep-only,64,java.util.TimSort.minRunLength,2,0.147601
core-minimal-10k,modelStep-only,65,java.util.TreeMap.getCeilingEntry,2,0.147601
core-minimal-10k,modelStep-only,66,housing.Bank.recalculateInterestRate,1,0.073801
core-minimal-10k,modelStep-only,67,housing.Bank.requestApproval,1,0.073801
core-minimal-10k,modelStep-only,68,housing.Demographics.updateDeathProbabilities,1,0.073801
core-minimal-10k,modelStep-only,69,housing.HouseBidderRecord$PComparator.compare,1,0.073801
core-minimal-10k,modelStep-only,70,housing.HouseSaleMarket.updateOffer,1,0.073801
core-minimal-10k,modelStep-only,71,housing.Household.decideToSellHouse,1,0.073801
core-minimal-10k,modelStep-only,72,housing.Household.endTenancy,1,0.073801
core-minimal-10k,modelStep-only,73,housing.Household.getEvicted,1,0.073801
core-minimal-10k,modelStep-only,74,housing.Household.transferAllWealthTo,1,0.073801
core-minimal-10k,modelStep-only,75,housing.HouseholdBehaviour.decideToBuyInvestmentProperty,1,0.073801
core-minimal-10k,modelStep-only,76,housing.HouseholdBehaviour.getDesiredRentPrice,1,0.073801
core-minimal-10k,modelStep-only,77,housing.HousingMarket.clearMarket,1,0.073801
core-minimal-10k,modelStep-only,78,housing.HousingMarketRecord$PYComparator.XCompare,1,0.073801
core-minimal-10k,modelStep-only,79,housing.HousingMarketRecord$PYComparator.YCompare,1,0.073801
core-minimal-10k,modelStep-only,80,housing.HousingMarketRecord.access$0,1,0.073801
core-minimal-10k,modelStep-only,81,java.nio.Buffer.flip,1,0.073801
core-minimal-10k,modelStep-only,82,java.util.ArrayList.addAll,1,0.073801
core-minimal-10k,modelStep-only,83,java.util.Objects.requireNonNull,1,0.073801
core-minimal-10k,modelStep-only,84,java.util.TimSort.mergeAt,1,0.073801
core-minimal-10k,modelStep-only,85,java.util.TreeMap.compare,1,0.073801
core-minimal-10k,modelStep-only,86,org.apache.commons.math3.distribution.AbstractIntegerDistribution.solveInverseCumulativeProbability,1,0.073801
core-minimal-10k,modelStep-only,87,org.apache.commons.math3.util.FastMath.expm1,1,0.073801
core-minimal-10k,modelStep-only,88,utilities.PriorityQueue2D$Iter.hasNext,1,0.073801
core-minimal-10k,modelStep-only,89,utilities.PriorityQueue2D$XComparatorClass.compare,1,0.073801
