# Age (lower edge), Age (upper edge), Log Gross Income (lower edge), Log Gross Income (upper edge), Probability
45.0, 55.0, 8.832642663854402, 8.988842881165183, 0.004392817653124431
45.0, 55.0, 8.988842881165183, 9.145043098475963, 0.009263274292597448
45.0, 55.0, 9.145043098475963, 9.301243315786742, 0.00858446147276385
45.0, 55.0, 9.301243315786742, 9.457443533097523, 0.016059128194342426
45.0, 55.0, 9.457443533097523, 9.613643750408302, 0.022846202772671895
45.0, 55.0, 9.613643750408302, 9.769843967719083, 0.0274627576922885
45.0, 55.0, 9.769843967719083, 9.926044185029863, 0.038719428940309504
45.0, 55.0, 9.926044185029863, 10.082244402340642, 0.06888522264662197
45.0, 55.0, 10.082244402340642, 10.238444619651423, 0.05783207999270878
45.0, 55.0, 10.238444619651423, 10.394644836962202, 0.05888507255999894
45.0, 55.0, 10.394644836962202, 10.550845054272983, 0.07616231322436846
45.0, 55.0, 10.550845054272983, 10.707045271583763, 0.07939958463955708
45.0, 55.0, 10.707045271583763, 10.863245488894542, 0.0960665001754146
45.0, 55.0, 10.863245488894542, 11.019445706205323, 0.0840881589567937
45.0, 55.0, 11.019445706205323, 11.175645923516102, 0.09330741316742686
45.0, 55.0, 11.175645923516102, 11.331846140826883, 0.058540176741190435
45.0, 55.0, 11.331846140826883, 11.488046358137662, 0.06829398460626764
45.0, 55.0, 11.488046358137662, 11.644246575448442, 0.04474510436832269
45.0, 55.0, 11.644246575448442, 11.800446792759223, 0.03237127400169599
45.0, 55.0, 11.800446792759223, 11.956647010070002, 0.02002079559783619
45.0, 55.0, 11.956647010070002, 12.112847227380783, 0.012574620867322264
45.0, 55.0, 12.112847227380783, 12.269047444691562, 0.014917100021758176
55.0, 65.0, 8.364042011922063, 8.520242229232842, 0.0037859103802884526
55.0, 65.0, 8.520242229232842, 8.676442446543623, 0.0008608568434644964
55.0, 65.0, 8.676442446543623, 8.832642663854402, 0.007044329990460662
